p,Points_0,Points_1,Points_2,U_0,U_1,U_2
-1.144928e-02,1.230000e-01,5.000000e-01,5.000000e-02,-1.988412e-02,1.058438e-01,0.000000e+00
-1.146917e-02,1.240000e-01,5.000000e-01,5.000000e-02,-2.016270e-02,1.063589e-01,0.000000e+00
-1.148905e-02,1.250000e-01,5.000000e-01,5.000000e-02,-2.044128e-02,1.068740e-01,0.000000e+00
-1.150910e-02,1.260000e-01,5.000000e-01,5.000000e-02,-2.073051e-02,1.073521e-01,0.000000e+00
-1.152915e-02,1.270000e-01,5.000000e-01,5.000000e-02,-2.101975e-02,1.078302e-01,0.000000e+00
-1.154920e-02,1.280000e-01,5.000000e-01,5.000000e-02,-2.130899e-02,1.083082e-01,0.000000e+00
-1.156926e-02,1.290000e-01,5.000000e-01,5.000000e-02,-2.159823e-02,1.087863e-01,0.000000e+00
-1.158931e-02,1.300000e-01,5.000000e-01,5.000000e-02,-2.188747e-02,1.092644e-01,0.000000e+00
-1.160936e-02,1.310000e-01,5.000000e-01,5.000000e-02,-2.217671e-02,1.097425e-01,0.000000e+00
-1.162941e-02,1.320000e-01,5.000000e-01,5.000000e-02,-2.246594e-02,1.102206e-01,0.000000e+00
-1.164951e-02,1.330000e-01,5.000000e-01,5.000000e-02,-2.275706e-02,1.106919e-01,0.000000e+00
-1.166984e-02,1.340000e-01,5.000000e-01,5.000000e-02,-2.305630e-02,1.111343e-01,0.000000e+00
-1.169016e-02,1.350000e-01,5.000000e-01,5.000000e-02,-2.335554e-02,1.115768e-01,0.000000e+00
-1.171049e-02,1.360000e-01,5.000000e-01,5.000000e-02,-2.365479e-02,1.120192e-01,0.000000e+00
-1.173082e-02,1.370000e-01,5.000000e-01,5.000000e-02,-2.395402e-02,1.124615e-01,0.000000e+00
-1.175114e-02,1.380000e-01,5.000000e-01,5.000000e-02,-2.425326e-02,1.129039e-01,0.000000e+00
-1.177147e-02,1.390000e-01,5.000000e-01,5.000000e-02,-2.455251e-02,1.133463e-01,0.000000e+00
-1.179180e-02,1.400000e-01,5.000000e-01,5.000000e-02,-2.485175e-02,1.137887e-01,0.000000e+00
-1.181226e-02,1.410000e-01,5.000000e-01,5.000000e-02,-2.515451e-02,1.142182e-01,0.000000e+00
-1.183296e-02,1.420000e-01,5.000000e-01,5.000000e-02,-2.546314e-02,1.146263e-01,0.000000e+00
-1.185366e-02,1.430000e-01,5.000000e-01,5.000000e-02,-2.577177e-02,1.150343e-01,0.000000e+00
-1.187435e-02,1.440000e-01,5.000000e-01,5.000000e-02,-2.608039e-02,1.154422e-01,0.000000e+00
-1.189505e-02,1.450000e-01,5.000000e-01,5.000000e-02,-2.638902e-02,1.158502e-01,0.000000e+00
-1.191575e-02,1.460000e-01,5.000000e-01,5.000000e-02,-2.669764e-02,1.162582e-01,0.000000e+00
-1.193645e-02,1.470000e-01,5.000000e-01,5.000000e-02,-2.700627e-02,1.166662e-01,0.000000e+00
-1.195715e-02,1.480000e-01,5.000000e-01,5.000000e-02,-2.731490e-02,1.170743e-01,0.000000e+00
-1.197810e-02,1.490000e-01,5.000000e-01,5.000000e-02,-2.762848e-02,1.174636e-01,0.000000e+00
-1.199926e-02,1.500000e-01,5.000000e-01,5.000000e-02,-2.794590e-02,1.178383e-01,0.000000e+00
-1.202042e-02,1.510000e-01,5.000000e-01,5.000000e-02,-2.826331e-02,1.182131e-01,0.000000e+00
-1.204158e-02,1.520000e-01,5.000000e-01,5.000000e-02,-2.858073e-02,1.185878e-01,0.000000e+00
-1.206274e-02,1.530000e-01,5.000000e-01,5.000000e-02,-2.889816e-02,1.189626e-01,0.000000e+00
-1.208389e-02,1.540000e-01,5.000000e-01,5.000000e-02,-2.921558e-02,1.193373e-01,0.000000e+00
-1.210505e-02,1.550000e-01,5.000000e-01,5.000000e-02,-2.953300e-02,1.197121e-01,0.000000e+00
-1.212621e-02,1.560000e-01,5.000000e-01,5.000000e-02,-2.985042e-02,1.200868e-01,0.000000e+00
-1.214777e-02,1.570000e-01,5.000000e-01,5.000000e-02,-3.017402e-02,1.204375e-01,0.000000e+00
-1.216947e-02,1.580000e-01,5.000000e-01,5.000000e-02,-3.049967e-02,1.207800e-01,0.000000e+00
-1.219117e-02,1.590000e-01,5.000000e-01,5.000000e-02,-3.082532e-02,1.211226e-01,0.000000e+00
-1.221287e-02,1.600000e-01,5.000000e-01,5.000000e-02,-3.115097e-02,1.214652e-01,0.000000e+00
-1.223457e-02,1.610000e-01,5.000000e-01,5.000000e-02,-3.147662e-02,1.218078e-01,0.000000e+00
-1.225627e-02,1.620000e-01,5.000000e-01,5.000000e-02,-3.180227e-02,1.221504e-01,0.000000e+00
-1.227797e-02,1.630000e-01,5.000000e-01,5.000000e-02,-3.212792e-02,1.224930e-01,0.000000e+00
-1.229967e-02,1.640000e-01,5.000000e-01,5.000000e-02,-3.245357e-02,1.228356e-01,0.000000e+00
-1.232194e-02,1.650000e-01,5.000000e-01,5.000000e-02,-3.278645e-02,1.231491e-01,0.000000e+00
-1.234426e-02,1.660000e-01,5.000000e-01,5.000000e-02,-3.311981e-02,1.234606e-01,0.000000e+00
-1.236657e-02,1.670000e-01,5.000000e-01,5.000000e-02,-3.345317e-02,1.237722e-01,0.000000e+00
-1.238889e-02,1.680000e-01,5.000000e-01,5.000000e-02,-3.378653e-02,1.240837e-01,0.000000e+00
-1.241120e-02,1.690000e-01,5.000000e-01,5.000000e-02,-3.411989e-02,1.243953e-01,0.000000e+00
-1.243351e-02,1.700000e-01,5.000000e-01,5.000000e-02,-3.445325e-02,1.247068e-01,0.000000e+00
-1.245583e-02,1.710000e-01,5.000000e-01,5.000000e-02,-3.478661e-02,1.250184e-01,0.000000e+00
-1.247822e-02,1.720000e-01,5.000000e-01,5.000000e-02,-3.512087e-02,1.253262e-01,0.000000e+00
-1.250122e-02,1.730000e-01,5.000000e-01,5.000000e-02,-3.546143e-02,1.256078e-01,0.000000e+00
-1.252422e-02,1.740000e-01,5.000000e-01,5.000000e-02,-3.580199e-02,1.258893e-01,0.000000e+00
-1.254722e-02,1.750000e-01,5.000000e-01,5.000000e-02,-3.614255e-02,1.261709e-01,0.000000e+00
-1.257022e-02,1.760000e-01,5.000000e-01,5.000000e-02,-3.648311e-02,1.264525e-01,0.000000e+00
-1.259322e-02,1.770000e-01,5.000000e-01,5.000000e-02,-3.682367e-02,1.267340e-01,0.000000e+00
-1.261622e-02,1.780000e-01,5.000000e-01,5.000000e-02,-3.716423e-02,1.270156e-01,0.000000e+00
-1.263921e-02,1.790000e-01,5.000000e-01,5.000000e-02,-3.750479e-02,1.272972e-01,0.000000e+00
-1.266244e-02,1.800000e-01,5.000000e-01,5.000000e-02,-3.784745e-02,1.275696e-01,0.000000e+00
-1.268618e-02,1.810000e-01,5.000000e-01,5.000000e-02,-3.819473e-02,1.278221e-01,0.000000e+00
-1.270991e-02,1.820000e-01,5.000000e-01,5.000000e-02,-3.854200e-02,1.280745e-01,0.000000e+00
-1.273365e-02,1.830000e-01,5.000000e-01,5.000000e-02,-3.888928e-02,1.283269e-01,0.000000e+00
-1.275738e-02,1.840000e-01,5.000000e-01,5.000000e-02,-3.923656e-02,1.285793e-01,0.000000e+00
-1.278111e-02,1.850000e-01,5.000000e-01,5.000000e-02,-3.958384e-02,1.288317e-01,0.000000e+00
-1.280485e-02,1.860000e-01,5.000000e-01,5.000000e-02,-3.993111e-02,1.290841e-01,0.000000e+00
-1.282858e-02,1.870000e-01,5.000000e-01,5.000000e-02,-4.027839e-02,1.293365e-01,0.000000e+00
-1.285271e-02,1.880000e-01,5.000000e-01,5.000000e-02,-4.062880e-02,1.295748e-01,0.000000e+00
-1.287724e-02,1.890000e-01,5.000000e-01,5.000000e-02,-4.098235e-02,1.297990e-01,0.000000e+00
-1.290176e-02,1.900000e-01,5.000000e-01,5.000000e-02,-4.133590e-02,1.300232e-01,0.000000e+00
-1.292629e-02,1.910000e-01,5.000000e-01,5.000000e-02,-4.168946e-02,1.302473e-01,0.000000e+00
-1.295081e-02,1.920000e-01,5.000000e-01,5.000000e-02,-4.204301e-02,1.304715e-01,0.000000e+00
-1.297534e-02,1.930000e-01,5.000000e-01,5.000000e-02,-4.239656e-02,1.306956e-01,0.000000e+00
-1.299986e-02,1.940000e-01,5.000000e-01,5.000000e-02,-4.275012e-02,1.309198e-01,0.000000e+00
-1.302439e-02,1.950000e-01,5.000000e-01,5.000000e-02,-4.310366e-02,1.311439e-01,0.000000e+00
-1.304948e-02,1.960000e-01,5.000000e-01,5.000000e-02,-4.346123e-02,1.313493e-01,0.000000e+00
-1.307483e-02,1.970000e-01,5.000000e-01,5.000000e-02,-4.382063e-02,1.315460e-01,0.000000e+00
-1.310019e-02,1.980000e-01,5.000000e-01,5.000000e-02,-4.418003e-02,1.317427e-01,0.000000e+00
-1.312554e-02,1.990000e-01,5.000000e-01,5.000000e-02,-4.453943e-02,1.319395e-01,0.000000e+00
-1.315090e-02,2.000000e-01,5.000000e-01,5.000000e-02,-4.489883e-02,1.321362e-01,0.000000e+00
-1.317625e-02,2.010000e-01,5.000000e-01,5.000000e-02,-4.525823e-02,1.323329e-01,0.000000e+00
-1.320160e-02,2.020000e-01,5.000000e-01,5.000000e-02,-4.561763e-02,1.325297e-01,0.000000e+00
-1.322696e-02,2.030000e-01,5.000000e-01,5.000000e-02,-4.597702e-02,1.327264e-01,0.000000e+00
-1.325306e-02,2.040000e-01,5.000000e-01,5.000000e-02,-4.634118e-02,1.328997e-01,0.000000e+00
-1.327927e-02,2.050000e-01,5.000000e-01,5.000000e-02,-4.670601e-02,1.330697e-01,0.000000e+00
-1.330548e-02,2.060000e-01,5.000000e-01,5.000000e-02,-4.707084e-02,1.332397e-01,0.000000e+00
-1.333169e-02,2.070000e-01,5.000000e-01,5.000000e-02,-4.743567e-02,1.334097e-01,0.000000e+00
-1.335790e-02,2.080000e-01,5.000000e-01,5.000000e-02,-4.780051e-02,1.335797e-01,0.000000e+00
-1.338412e-02,2.090000e-01,5.000000e-01,5.000000e-02,-4.816534e-02,1.337497e-01,0.000000e+00
-1.341033e-02,2.100000e-01,5.000000e-01,5.000000e-02,-4.853017e-02,1.339196e-01,0.000000e+00
-1.343659e-02,2.110000e-01,5.000000e-01,5.000000e-02,-4.889532e-02,1.340880e-01,0.000000e+00
-1.346368e-02,2.120000e-01,5.000000e-01,5.000000e-02,-4.926520e-02,1.342319e-01,0.000000e+00
-1.349078e-02,2.130000e-01,5.000000e-01,5.000000e-02,-4.963508e-02,1.343759e-01,0.000000e+00
-1.351787e-02,2.140000e-01,5.000000e-01,5.000000e-02,-5.000496e-02,1.345198e-01,0.000000e+00
-1.354496e-02,2.150000e-01,5.000000e-01,5.000000e-02,-5.037485e-02,1.346637e-01,0.000000e+00
-1.357205e-02,2.160000e-01,5.000000e-01,5.000000e-02,-5.074473e-02,1.348077e-01,0.000000e+00
-1.359914e-02,2.170000e-01,5.000000e-01,5.000000e-02,-5.111460e-02,1.349516e-01,0.000000e+00
-1.362623e-02,2.180000e-01,5.000000e-01,5.000000e-02,-5.148449e-02,1.350956e-01,0.000000e+00
-1.365355e-02,2.190000e-01,5.000000e-01,5.000000e-02,-5.185554e-02,1.352331e-01,0.000000e+00
-1.368153e-02,2.200000e-01,5.000000e-01,5.000000e-02,-5.223010e-02,1.353517e-01,0.000000e+00
-1.370952e-02,2.210000e-01,5.000000e-01,5.000000e-02,-5.260466e-02,1.354702e-01,0.000000e+00
-1.373751e-02,2.220000e-01,5.000000e-01,5.000000e-02,-5.297922e-02,1.355887e-01,0.000000e+00
-1.376550e-02,2.230000e-01,5.000000e-01,5.000000e-02,-5.335378e-02,1.357072e-01,0.000000e+00
-1.379348e-02,2.240000e-01,5.000000e-01,5.000000e-02,-5.372834e-02,1.358258e-01,0.000000e+00
-1.382147e-02,2.250000e-01,5.000000e-01,5.000000e-02,-5.410290e-02,1.359443e-01,0.000000e+00
-1.384946e-02,2.260000e-01,5.000000e-01,5.000000e-02,-5.447746e-02,1.360628e-01,0.000000e+00
